Scenario,ALNSObjective,RLObjective,ALNSPenalty,RLPenalty
0,20477.08,17282.05,16200.0,13200.0
1,19277.08,20882.05,15000.0,16800.0
2,14477.08,10682.05,10200.0,6600.0
3,16277.08,16682.05,12000.0,12600.0
4,15677.08,16082.05,11400.0,12000.0
5,17477.08,27482.05,13200.0,23400.0
6,19277.08,23282.05,15000.0,19200.0
7,23477.08,25682.05,19200.0,21600.0
8,20477.08,17882.05,16200.0,13800.0
9,18677.08,17882.05,14400.0,13800.0
10,26477.08,27482.05,22200.0,23400.0
11,15077.08,11282.05,10800.0,7200.0
12,9677.08,5882.05,5400.0,1800.0
13,12677.08,14282.05,8400.0,10200.0
14,13277.08,10082.05,9000.0,6000.0
15,22877.08,25082.05,18600.0,21000.0
16,15077.08,15482.05,10800.0,11400.0
17,22877.08,22082.05,18600.0,18000.0
18,20477.08,22082.05,16200.0,18000.0
19,13277.08,17882.05,9000.0,13800.0
